TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,Channel_ATM,Channel_Branch,Channel_Online,Cluster
14.089999999999998,69.99999999999997,81.00000000000003,1,5112.210000000003,1.0,0.0,0.0,1
376.23999999999995,67.99999999999999,141.00000000000006,1,13758.91000000001,1.0,0.0,0.0,1
126.29000000000005,18.99999999999999,56.00000000000002,1,1122.3500000000004,0.0,0.0,1.0000000000000009,2
184.50000000000006,25.999999999999986,25.00000000000001,1,8569.060000000005,0.0,0.0,1.0000000000000009,2
13.450000000000003,25.999999999999986,198.0000000000001,1,7429.400000000002,0.0,0.0,1.0000000000000009,2
92.15000000000005,17.999999999999996,172.00000000000006,1,781.6800000000002,1.0,0.0,0.0,1
7.080000000000004,36.99999999999999,139.00000000000006,1,13316.710000000006,1.0,0.0,0.0,1
171.42,66.99999999999997,291.0000000000001,1,2796.2400000000016,0.0,0.9999999999999996,0.0,0
106.23000000000002,50.99999999999998,86.00000000000003,1,9095.140000000003,0.0,0.9999999999999996,0.0,0
815.9600000000005,54.99999999999997,120.00000000000003,1,1021.8800000000001,1.0,0.0,0.0,1
17.780000000000005,51.999999999999986,59.00000000000002,1,7599.520000000004,0.0,0.0,1.0000000000000009,2
190.02,20.999999999999996,173.00000000000006,1,1528.8100000000002,0.0,0.0,1.0000000000000009,2
494.52000000000004,23.99999999999999,111.00000000000003,1,1620.0200000000004,0.0,0.9999999999999996,0.0,0
781.7600000000002,25.999999999999986,123.00000000000006,1,189.69000000000017,1.0,0.0,0.0,1
166.99000000000004,17.999999999999996,134.00000000000003,1,299.9299999999999,0.0,0.0,1.0000000000000009,2
465.45000000000016,35.99999999999999,129.00000000000006,1,3465.5400000000022,1.0,0.0,0.0,1
555.8,18.99999999999999,158.00000000000006,1,1131.2599999999998,0.0,0.9999999999999996,0.0,0
492.9300000000003,38.999999999999986,234.00000000000014,1,5109.970000000005,0.0,0.0,1.0000000000000009,2
18.68,58.99999999999997,106.00000000000006,1,7948.370000000004,0.0,0.9999999999999996,0.0,0
71.48000000000002,17.999999999999996,169.00000000000009,1,6568.590000000003,0.0,0.0,1.0000000000000009,2
59.31999999999999,70.99999999999997,38.00000000000001,1,5750.890000000002,0.0,0.9999999999999996,0.0,0
85.76999999999998,37.999999999999986,93.00000000000004,1,9146.190000000006,0.0,0.9999999999999996,0.0,0
52.20000000000001,38.999999999999986,120.00000000000003,1,8974.930000000008,0.0,0.0,1.0000000000000009,2
345.8399999999999,21.99999999999999,142.00000000000006,3,1402.5000000000002,0.0,0.0,1.0000000000000009,3
145.54000000000002,20.999999999999996,96.00000000000004,1,1930.9600000000014,0.0,0.0,1.0000000000000009,2
